,Time,Magnitude,msig
0,51.044,22.079,1.0
1,51.048,22.147,1.0
2,51.048,22.335,1.0
3,51.052,22.124,1.0
4,51.056,22.426,1.0
5,51.06,22.448,1.0
6,51.06,22.682,1.0
7,51.064,22.433,1.0
8,51.064,22.841,1.0
9,51.068,22.705,1.0
10,51.068,22.939,1.0
11,51.072,22.758,1.0
12,51.072,23.097,1.0
13,51.076,22.931,1.0
14,51.076,23.18,1.0
15,51.076,23.701,1.0
16,51.084,23.821,1.0
17,51.088,24.191,1.0
18,51.096,24.168,1.0
19,51.096,24.711,1.0
20,51.1,23.987,1.0
21,51.1,24.523,1.0
22,51.104,23.655,1.0
23,51.104,24.063,1.0
24,51.104,24.462,1.0
25,51.108,23.746,1.0
26,51.108,24.161,1.0
27,51.108,24.485,1.0
28,51.112,23.821,1.0
29,51.112,24.161,1.0
30,51.112,24.553,1.0
31,51.116,23.67,1.0
32,51.116,23.972,1.0
33,51.116,24.327,1.0
34,51.12,23.64,1.0
35,51.978,22.541,1.0
36,51.978,22.927,1.0
37,51.985,22.381,1.0
38,51.985,22.677,1.0
39,51.992,22.245,1.0
40,51.992,22.45,1.0
41,51.998,22.112,1.0
42,51.999,21.836,1.0
43,51.999,22.328,1.0
44,52.002,22.227,1.0
45,52.006,21.813,1.0
46,52.006,22.131,1.0
47,52.007,21.921,1.0
48,52.013,21.798,1.0
49,52.013,22.01,1.0
50,52.02,21.752,1.0
51,52.027,21.76,1.0
52,52.034,21.76,1.0
53,52.034,22.018,1.0
54,52.036,21.814,1.0
55,52.036,22.051,1.0
56,52.043,21.933,1.0
57,52.05,21.759,1.0
58,52.05,21.993,1.0
59,52.05,22.153,1.0
60,52.057,22.281,1.0
61,52.057,22.524,1.0
62,52.064,22.206,1.0
63,52.064,22.531,1.0
64,52.064,22.66,1.0
65,52.071,22.372,1.0
66,52.071,22.547,1.0
67,52.071,22.66,1.0
68,52.078,22.387,1.0
69,52.078,22.569,1.0
70,52.078,22.698,1.0
71,52.085,22.266,1.0
72,52.085,22.456,1.0
73,52.092,22.41,1.0
74,52.092,22.713,1.0
75,52.099,22.6,1.0
76,52.099,22.736,1.0
77,52.134,23.077,1.0
78,52.134,23.35,1.0
79,52.141,22.986,1.0
80,52.141,23.213,1.0
81,52.141,23.426,1.0
82,52.141,23.6,1.0
83,52.148,23.221,1.0
84,52.148,23.373,1.0
85,52.155,23.433,1.0
86,52.155,24.07,1.0
87,52.162,24.403,1.0
88,52.169,23.122,1.0
89,52.169,24.07,1.0
90,52.176,23.176,1.0
91,52.176,23.479,1.0
92,52.183,22.895,1.0
93,52.183,23.115,1.0
94,52.183,23.251,1.0
95,53.077,23.925,1.0
96,53.08,24.058,1.0
97,53.094,24.066,1.0
98,53.094,24.384,1.0
99,53.101,24.051,1.0
100,53.108,23.392,1.0
101,53.108,23.907,1.0
102,53.115,23.369,1.0
103,53.115,23.687,1.0
104,53.122,22.672,1.0
105,53.129,22.392,1.0
106,53.129,22.801,1.0
107,53.136,22.263,1.0
108,53.143,22.286,1.0
109,53.15,22.377,1.0
110,53.157,22.203,1.0
111,53.178,22.165,1.0
112,53.185,22.619,1.0
113,53.185,22.937,1.0
114,53.192,22.551,1.0
115,53.199,22.634,1.0
116,53.206,23.013,1.0
117,53.22,23.952,1.0
118,53.221,24.664,1.0
119,53.227,24.21,1.0
120,53.234,24.414,1.0
121,53.234,24.952,1.0
122,53.241,23.392,1.0
123,53.241,23.99,1.0
124,53.241,25.217,1.0
125,53.242,24.756,1.0
126,53.248,23.748,1.0
127,53.248,24.126,1.0
128,53.248,24.551,1.0
129,53.255,23.574,1.0
130,53.255,23.884,1.0
131,53.262,23.255,1.0
132,53.269,23.369,1.0
133,53.276,22.816,1.0
134,53.283,22.574,1.0
135,53.29,22.286,1.0
136,53.297,22.309,1.0
137,53.304,22.271,1.0
138,53.311,22.157,1.0
139,53.325,22.43,1.0
140,53.332,22.551,1.0
141,53.339,22.672,1.0
142,53.346,22.687,1.0
143,53.353,22.869,1.0
144,53.36,23.18,1.0
145,53.367,23.521,1.0
146,53.367,23.801,1.0
147,53.374,23.967,1.0
148,53.381,24.331,1.0
149,53.381,24.891,1.0
150,53.388,23.725,1.0
151,53.388,24.763,1.0
152,53.395,23.619,1.0
153,53.416,23.46,1.0
154,53.43,22.642,1.0
155,53.437,22.559,1.0
156,53.456,21.987,1.0
157,53.315,22.392,1.0
158,53.32,22.445,1.0
159,53.4,23.748,1.0
160,53.405,23.165,1.0
161,53.405,23.611,1.0
162,53.41,23.18,1.0
163,53.41,23.543,1.0
164,53.415,23.134,1.0
165,53.42,22.809,1.0
166,53.425,22.642,1.0
167,53.43,22.301,1.0
168,53.435,22.437,1.0
169,53.44,22.354,1.0
170,53.445,22.134,1.0
171,53.45,22.006,1.0
172,53.455,21.9,1.0
173,53.465,21.847,1.0
174,53.47,21.9,1.0
175,53.475,22.112,1.0
176,53.48,22.044,1.0
177,53.485,22.089,1.0
178,53.49,22.165,1.0
179,53.495,22.21,1.0
180,53.5,22.309,1.0
181,53.505,22.453,1.0
182,53.51,22.634,1.0
183,53.51,22.93,1.0
184,53.515,22.862,1.0
185,53.515,23.195,1.0
186,53.52,23.081,1.0
187,53.52,23.657,1.0
188,53.525,23.46,1.0
189,53.525,23.922,1.0
190,53.53,23.49,1.0
191,53.53,24.058,1.0
192,53.535,24.134,1.0
193,54.095,22.265,1.0
194,54.099,22.461,1.0
195,54.102,22.355,1.0
196,54.105,22.628,1.0
197,54.11,22.689,1.0
198,54.115,23.03,1.0
199,54.12,22.886,1.0
200,54.12,23.499,1.0
201,54.145,23.696,1.0
202,54.19,22.977,1.0
203,54.201,23.119,1.0
204,54.205,22.507,1.0
205,54.212,22.762,1.0
206,54.215,22.151,1.0
207,54.22,22.234,1.0
208,54.25,22.06,1.0
209,54.255,22.242,1.0
210,54.26,22.197,1.0
211,54.265,22.219,1.0
212,54.27,22.257,1.0
213,54.27,22.628,1.0
214,54.275,22.416,1.0
215,54.275,22.696,1.0
216,54.277,22.92,1.0
217,54.28,22.674,1.0
218,54.285,22.833,1.0
219,54.29,22.84,1.0
220,54.29,24.045,1.0
221,54.295,22.909,1.0
222,54.295,23.348,1.0
223,54.295,23.658,1.0
224,54.296,23.117,1.0
225,54.3,23.401,1.0
226,54.3,23.742,1.0
227,54.302,23.895,1.0
228,54.305,23.651,1.0
229,54.305,24.09,1.0
230,54.35,22.704,1.0
231,54.355,22.53,1.0
232,54.36,22.931,1.0
233,54.362,22.707,1.0
234,54.365,22.924,1.0
235,54.37,22.606,1.0
236,54.375,22.5,1.0
237,54.38,22.287,1.0
238,54.385,22.174,1.0
239,54.39,22.068,1.0
240,54.395,21.962,1.0
241,54.4,21.947,1.0
242,54.405,21.81,1.0
243,54.41,21.81,1.0
244,54.425,21.742,1.0
245,54.43,21.81,1.0
246,54.435,21.969,1.0
247,54.44,22.136,1.0
248,54.445,22.303,1.0
249,54.445,22.606,1.0
250,54.45,22.681,1.0
251,54.455,22.856,1.0
252,54.455,23.242,1.0
253,54.46,22.962,1.0
254,54.46,23.348,1.0
255,54.465,23.272,1.0
256,54.465,23.666,1.0
257,54.47,23.34,1.0
258,54.47,23.802,1.0
259,54.475,23.401,1.0
260,54.475,24.09,1.0
261,54.478,23.866,1.0
262,54.48,23.658,1.0
263,54.48,24.12,1.0
264,54.48,24.537,1.0
265,54.485,23.484,1.0
266,54.485,23.954,1.0
267,54.485,24.408,1.0
268,54.49,23.105,1.0
269,54.49,23.954,1.0
270,54.495,22.787,1.0
271,54.495,23.295,1.0
272,54.495,23.87,1.0
273,54.5,22.765,1.0
274,54.505,22.878,1.0
275,54.505,23.189,1.0
276,54.51,22.727,1.0
277,54.515,22.666,1.0
278,54.52,22.553,1.0
279,55.232,22.931,1.0
280,55.256,22.575,1.0
281,55.264,22.212,1.0
282,55.264,22.545,1.0
283,55.272,22.06,1.0
284,55.288,21.947,1.0
285,55.288,22.265,1.0
286,55.296,21.954,1.0
287,55.304,21.712,1.0
288,55.308,22.007,1.0
289,55.312,21.765,1.0
290,55.312,22.181,1.0
291,55.32,21.394,1.0
292,55.32,21.916,1.0
293,55.32,22.454,1.0
294,55.328,22.303,1.0
295,55.336,22.462,1.0
296,55.344,22.939,1.0
297,55.352,23.257,1.0
298,55.824,22.197,1.0
299,55.838,22.166,1.0
300,55.845,22.553,1.0
301,55.859,22.84,1.0
302,55.873,23.121,1.0
303,55.971,21.833,1.0
304,56.09,22.022,1.0
305,56.097,21.848,1.0
306,56.174,22.643,1.0
307,56.181,23.03,1.0
308,56.188,22.886,1.0
309,56.195,23.06,1.0
310,56.202,23.121,1.0
311,56.209,23.212,1.0
312,56.209,23.507,1.0
313,56.216,23.651,1.0
314,56.223,23.757,1.0
315,56.223,24.196,1.0
316,56.23,23.946,1.0
317,56.23,24.211,1.0
318,56.237,23.537,1.0
319,56.237,24.06,1.0
320,56.241,23.787,1.0
321,56.246,23.47,1.0
322,56.249,23.22,1.0
323,56.251,23.333,1.0
324,56.258,22.606,1.0
325,56.258,23.295,1.0
326,56.265,22.749,1.0
327,56.268,22.877,1.0
328,56.272,22.765,1.0
329,56.273,22.613,1.0
330,56.279,22.356,1.0
331,56.279,22.886,1.0
332,56.286,22.893,1.0
333,56.288,22.402,1.0
334,56.29,22.521,1.0
335,78.025,22.409,1.0
336,78.037,21.881,1.0
337,78.054,22.092,1.0
338,78.076,21.934,1.0
339,78.133,21.275,1.0
340,78.139,21.341,1.0
341,78.145,21.393,1.0
342,78.146,21.275,1.0
343,78.152,21.288,1.0
344,78.16,21.446,1.0
345,78.207,21.591,1.0
346,78.215,21.486,1.0
347,78.226,21.407,1.0
348,79.217,22.513,1.0
349,79.239,22.446,1.0
350,79.262,22.169,1.0
351,79.288,22.313,1.0
352,79.31,22.353,1.0
353,79.524,21.913,1.0
354,79.536,21.622,1.0
355,79.543,21.503,1.0
356,79.55,21.398,1.0
357,80.262,22.132,1.0
358,80.266,22.066,1.0
359,80.272,22.382,1.0
360,80.277,22.264,1.0
361,80.281,22.053,1.0
362,80.286,22.105,1.0
363,80.367,22.541,1.0
