#t, 	mag
55.824, 22.197
55.838, 22.166
55.845, 22.553
55.859, 22.840
55.873, 23.121
55.971, 21.833
56.090, 22.022
56.097, 21.848
56.174, 22.643
56.181, 23.030
56.188, 22.886
56.195, 23.060
56.202, 23.121
56.209, 23.212
56.209, 23.507
56.216, 23.651
56.223, 23.757
56.223, 24.196
56.230, 23.946
56.230, 24.211
56.237, 23.537
56.237, 24.060
56.241, 23.787
56.246, 23.470
56.249, 23.220
56.251, 23.333
56.258, 22.606
56.258, 23.295
56.265, 22.749
56.268, 22.877
56.272, 22.765
56.273, 22.613
56.279, 22.356
56.279, 22.886
56.286, 22.893
56.288, 22.402
56.290, 22.521
